ID,Finding,CVSS Score (approx),Severity,Primary Annex A Control,Secondary Annex A Control,Exploitability,Business Risk Summary,Priority,Remediation Timeframe
1,Malicious File Upload,9.4,Critical,A.8.28 Secure Coding,A.8.29 Security Testing in Development and Acceptance,High - no authentication required,Can lead to remote code execution and full server compromise; potential for complete data breach and service disruption,Critical,24-48 hours
2,Stored XSS,7.6,High,A.8.28 Secure Coding,A.8.26 Application Security Requirements,Medium - requires victim interaction,Allows session hijacking and account takeover for any user viewing the affected page; can be used for phishing or credential theft,High,1 week
3,No MFA,7.2,High,A.8.5 Secure Authentication,,Medium - requires compromised credentials,Single point of failure for account compromise; significantly increases impact of credential leaks or phishing,High,1-2 weeks
4,Broken Access Control (Admin Functions),8.1,High,A.5.15 Access Control,A.8.2 Privileged Access Rights,Medium - requires basic authenticated access,Allows standard users to access administrative functions; risk of data manipulation, privilege escalation, or unauthorized configuration changes,High,1-2 weeks
5,Weak SSL Configuration,5.9,Medium,A.8.24 Use of Cryptography,,Low - requires network position (MITM),Outdated TLS/cipher support enables interception of data in transit under specific network conditions,Medium,2-4 weeks
6,Weak Account Lockout,5.3,Medium,A.8.5 Secure Authentication,,Medium - enables brute-force attempts,Increases feasibility of credential brute-forcing; combined with No MFA this significantly raises account compromise risk,Medium,2-4 weeks
7,No Rate Limiting,5.8,Medium,A.8.5 Secure Authentication,A.8.16 Monitoring Activities,Medium - enables automated abuse,Enables brute-force and credential stuffing attacks at scale; lack of throttling also means abuse may go undetected,Medium,2-4 weeks
8,Session Timeout Misconfiguration,4.8,Medium,A.8.5 Secure Authentication,,Low - requires shared/unattended device or session theft,Extended session validity increases window for session hijacking, particularly on shared or unattended devices,Medium,4 weeks
9,Self-Signed Certificate,3.7,Low,A.8.24 Use of Cryptography,,Low - requires network position and user to bypass warnings,Indicates weak certificate management practices; does not directly enable exploitation but undermines trust validation,Low,4-6 weeks
10,Missing Security Headers,3.1,Low,A.8.26 Application Security Requirements,,Low - enables secondary attacks only,Absence of headers like CSP and X-Frame-Options increases susceptibility to clickjacking and content injection attacks,Low,4-6 weeks
